2025-02-01 02:44:16 - INFO - Testando: circuit_type1 - SPSAOptimizer - 2 camadas
2025-02-01 02:45:26 - INFO - Fold: 1 | Iter:    91 | Cost: 0.6420985 | Best Cost: 0.5477249
2025-02-01 02:45:27 - INFO - Fold: 1 | Iter:    92 | Cost: 0.6768823 | Best Cost: 0.5477249
2025-02-01 02:45:27 - INFO - Fold: 1 | Iter:    93 | Cost: 0.6310413 | Best Cost: 0.5477249
2025-02-01 02:45:28 - INFO - Fold: 1 | Iter:    94 | Cost: 0.6550178 | Best Cost: 0.5477249
2025-02-01 02:45:29 - INFO - Fold: 1 | Iter:    95 | Cost: 0.6798359 | Best Cost: 0.5477249
2025-02-01 02:45:30 - INFO - Fold: 1 | Iter:    96 | Cost: 0.6008958 | Best Cost: 0.5477249
2025-02-01 02:45:30 - INFO - Fold: 1 | Iter:    97 | Cost: 0.7175614 | Best Cost: 0.5477249
2025-02-01 02:45:31 - INFO - Fold: 1 | Iter:    98 | Cost: 0.6746690 | Best Cost: 0.5477249
2025-02-01 02:45:32 - INFO - Fold: 1 | Iter:    99 | Cost: 0.6396872 | Best Cost: 0.5477249
2025-02-01 02:45:33 - INFO - Fold: 1 | Iter:   100 | Cost: 0.6197129 | Best Cost: 0.5477249
2025-02-01 02:45:34 - INFO - Fold: 2 | Iter:     1 | Cost: 0.7077324 | Best Cost: 0.7077324
2025-02-01 02:45:35 - INFO - Fold: 2 | Iter:     2 | Cost: 0.5923459 | Best Cost: 0.5923459
2025-02-01 02:45:36 - INFO - Fold: 2 | Iter:     3 | Cost: 0.6448682 | Best Cost: 0.5923459
2025-02-01 02:45:37 - INFO - Fold: 2 | Iter:     4 | Cost: 0.6742019 | Best Cost: 0.5923459
2025-02-01 02:45:38 - INFO - Fold: 2 | Iter:     5 | Cost: 0.6424529 | Best Cost: 0.5923459
2025-02-01 02:45:38 - INFO - Fold: 2 | Iter:     6 | Cost: 0.6407505 | Best Cost: 0.5923459
2025-02-01 02:45:39 - INFO - Fold: 2 | Iter:     7 | Cost: 0.6230595 | Best Cost: 0.5923459
2025-02-01 02:45:40 - INFO - Fold: 2 | Iter:     8 | Cost: 0.6155610 | Best Cost: 0.5923459
2025-02-01 02:45:41 - INFO - Fold: 2 | Iter:     9 | Cost: 0.7182852 | Best Cost: 0.5923459
2025-02-01 02:45:41 - INFO - Fold: 2 | Iter:    10 | Cost: 0.6956715 | Best Cost: 0.5923459
2025-02-01 02:45:42 - INFO - Fold: 2 | Iter:    11 | Cost: 0.6519183 | Best Cost: 0.5923459
2025-02-01 02:45:43 - INFO - Fold: 2 | Iter:    12 | Cost: 0.6003976 | Best Cost: 0.5923459
2025-02-01 02:45:44 - INFO - Fold: 2 | Iter:    13 | Cost: 0.6855488 | Best Cost: 0.5923459
2025-02-01 02:45:45 - INFO - Fold: 2 | Iter:    14 | Cost: 0.6672874 | Best Cost: 0.5923459
2025-02-01 02:45:46 - INFO - Fold: 2 | Iter:    15 | Cost: 0.6707639 | Best Cost: 0.5923459
2025-02-01 02:45:46 - INFO - Fold: 2 | Iter:    16 | Cost: 0.5792757 | Best Cost: 0.5792757
2025-02-01 02:45:47 - INFO - Fold: 2 | Iter:    17 | Cost: 0.6336621 | Best Cost: 0.5792757
2025-02-01 02:45:48 - INFO - Fold: 2 | Iter:    18 | Cost: 0.6120279 | Best Cost: 0.5792757
2025-02-01 02:45:48 - INFO - Fold: 2 | Iter:    19 | Cost: 0.6276573 | Best Cost: 0.5792757
2025-02-01 02:45:49 - INFO - Fold: 2 | Iter:    20 | Cost: 0.5987393 | Best Cost: 0.5792757
2025-02-01 02:45:57 - INFO - Testando: circuit_type1 - SPSAOptimizer - 2 camadas
2025-02-01 02:45:58 - INFO - Fold: 1 | Iter:     1 | Cost: 0.7539328 | Best Cost: 0.7539328
2025-02-01 02:45:59 - INFO - Fold: 1 | Iter:     2 | Cost: 0.7536166 | Best Cost: 0.7536166
2025-02-01 02:46:00 - INFO - Fold: 1 | Iter:     3 | Cost: 0.7113327 | Best Cost: 0.7113327
2025-02-01 02:46:01 - INFO - Fold: 1 | Iter:     4 | Cost: 0.7510622 | Best Cost: 0.7113327
2025-02-01 02:46:01 - INFO - Fold: 1 | Iter:     5 | Cost: 0.7630780 | Best Cost: 0.7113327
2025-02-01 02:46:02 - INFO - Fold: 1 | Iter:     6 | Cost: 0.7261477 | Best Cost: 0.7113327
2025-02-01 02:46:03 - INFO - Fold: 1 | Iter:     7 | Cost: 0.6970416 | Best Cost: 0.6970416
2025-02-01 02:46:04 - INFO - Fold: 1 | Iter:     8 | Cost: 0.7505078 | Best Cost: 0.6970416
2025-02-01 02:46:05 - INFO - Fold: 1 | Iter:     9 | Cost: 0.7688343 | Best Cost: 0.6970416
2025-02-01 02:46:05 - INFO - Fold: 1 | Iter:    10 | Cost: 0.7793805 | Best Cost: 0.6970416
2025-02-01 02:46:06 - INFO - Fold: 1 | Iter:    11 | Cost: 0.6590962 | Best Cost: 0.6590962
2025-02-01 02:46:07 - INFO - Fold: 1 | Iter:    12 | Cost: 0.7742589 | Best Cost: 0.6590962
2025-02-01 02:46:08 - INFO - Fold: 1 | Iter:    13 | Cost: 0.6967580 | Best Cost: 0.6590962
